0.png,"মাহমুদউল্লাহ-মার্শাল-মেহরাবের হাসি যেন বলছে বিসিএলের শুরুতে অনেকটাই নির্ভার বর্তমান চ্যাম্পিয়ন মধ্যাঞ্চল,  প্রথম আলো"
1.png,সরফরাজ নওয়াজ
2.png,সিদ্দিকুর রহমান
3.png,বিচারপতি হাবিবুর রহমান
4.png,"ওয়ানডে সিরিজ শুরুর আগে মাইকেল ক্লার্ক ও অ্যালিস্টার কুক দুজনের মুখেই চওড়া হাসি। সিরিজ শেষে এই হাসিটা কার মুখে থাকবে? কাল মেলবোর্ন ক্রিকেট গ্রাউন্ডে,  এএফপি"
5.png,"ছোট দলের সঙ্গে পয়েন্ট ভাগাভাগি করে হতাশ মোহামেডান। ম্যাচ শেষে মোহামেডান স্ট্রাইকার জাহিদ হাসান এমিলিকে সান্ত্বনাও দিলেন উত্তর বারিধারার মোস্তাফিজুর রহমান,  প্রথম আলো"
6.png,"অবাক হচ্ছেন? টেনিস খেলোয়াড়দের সঙ্গে স্পাউঞ্জ বব ও টিনএজ মিউট্যান্ট নিনজা টার্টলসরা কী করছেন? কাল অস্ট্রেলিয়ান ওপেনের আগে মেলবোর্নে একটা দিন ছিল শুধুই শিশুদের। সেই দিনেই শিশুদের প্রিয় কার্টুন চরিত্রগুলোর সঙ্গে ক্যামেরাবন্দী হয়েছেন (বাঁ থেকে) লেটন হিউইট, ইউজিনি বুশার, সামান্থা স্টোসুর, রজার ফেদেরার, ভিক্টোরিয়া আজারেঙ্কা, রাফায়েল নাদাল ও প্যাট রাফটাররা,  এএফপি"
7.png,মাশরাফি বিন মুর্তজা
8.png,ঢাকা-টাঙ্গাইল মহাসড়কে গতকাল দিনভর ছিল তীব্র যানজট। ঘণ্টার পর ঘণ্টা রাস্তায় আটকা পড়ে বিভিন্ন গন্তব্যের পরিবহন। এতে চরম দুর্ভোগের শিকার হন যাত্রী ও চালকেরা। ছবিটি টাঙ্গাইলের কালিহাতীর এলেঙ্গা এলাকা থেকে তোলা। প্রথম আলো
9.png,‘এখন আর শুধুই কান্না নয়’—সাম্প্রদায়িক সহিংসতার বিরুদ্ধে সোচ্চার হয়েছে চাঁপাতলার মানুষ। ধর্মীয় সংখ্যালঘুদের ওপর হামলাকারীদের কঠোর শাস্তির দাবিতে স্থানীয় রামকৃষ্ণ আশ্রম মাঠে গতকাল গণজাগরণ মঞ্চের উদ্যোগে সমাবেশ হয়েছে। এর আগে সকালে গণজাগরণ মঞ্চের রোডমার্চ যশোর থেকে অভয়নগরের চাঁপাতলায় যায়—ছবি: এহসান-উদ-দৌলা
10.png,"লিওনেল মেসি, ক্রিস্টিয়ানো রোনালদো, না ফ্রাঙ্ক রিবেরি? আগামীকাল কার হাতে উঠবে ফিফা-ব্যালন ডি’অর?  ওয়েবসাইট"
11.png,প্রধানমন্ত্রী শেখ হাসিনা
12.png,"বদলে যাওয়া লুইস সুয়ারেজ,  ফাইল ছবি"
